Timestamp,Heart Rate (BPM),SpO2 (%)
2025-07-04 03:19:43,97,99
2025-07-04 03:19:51,67,96
2025-07-04 03:19:59,84,96
2025-07-04 03:20:07,64,97
2025-07-04 03:20:15,69,98
2025-07-04 03:20:23,113,97
2025-07-04 03:20:31,70,97
2025-07-04 03:20:39,89,96
2025-07-04 03:20:47,91,99
2025-07-04 03:20:55,84,99
2025-07-04 03:21:03,88,96
2025-07-04 03:21:11,79,99
2025-07-04 03:21:19,65,97
2025-07-04 03:21:27,54,98
2025-07-04 03:21:35,97,96
2025-07-04 03:21:43,92,98
2025-07-04 03:21:51,47,99
2025-07-04 03:21:59,93,98
2025-07-04 03:22:07,83,99
2025-07-04 03:22:15,53,99
2025-07-04 03:22:23,113,97
2025-07-04 03:22:31,61,99
2025-07-04 03:22:39,94,97
2025-07-04 03:22:47,90,97
2025-07-04 03:22:55,83,97
2025-07-04 03:23:03,88,96
2025-07-04 03:23:11,89,96
2025-07-04 03:23:19,63,99
2025-07-04 03:23:27,60,97
2025-07-04 03:23:35,74,96
2025-07-04 03:23:43,92,97
2025-07-04 03:23:51,72,98
2025-07-04 03:23:59,122,98
2025-07-04 03:24:07,116,98
2025-07-04 03:24:15,61,99
2025-07-04 03:24:23,77,97
2025-07-04 03:24:31,83,98
2025-07-04 03:24:39,92,96
2025-07-04 03:24:47,84,98
2025-07-04 03:24:55,87,98
2025-07-04 03:25:03,82,98
2025-07-04 03:25:11,99,99
2025-07-04 03:25:19,87,96
2025-07-04 03:25:27,94,97
2025-07-04 03:25:35,83,96
2025-07-04 03:25:43,85,97
2025-07-04 03:25:51,129,99
2025-07-04 03:25:59,63,99
2025-07-04 03:26:07,92,99
2025-07-04 03:26:15,82,99
2025-07-04 03:26:23,88,97
2025-07-04 03:26:31,93,98
2025-07-04 03:26:39,96,97
2025-07-04 03:26:47,77,96
2025-07-04 03:26:55,75,99
2025-07-04 03:27:03,76,99
2025-07-04 03:27:11,83,96
2025-07-04 03:27:19,95,97
2025-07-04 03:27:27,113,98
2025-07-04 03:27:35,95,98
2025-07-04 03:27:43,94,96
2025-07-04 03:27:51,84,98
2025-07-04 03:27:59,64,97
2025-07-04 03:28:07,97,97
2025-07-04 03:28:15,99,96
2025-07-04 03:28:23,75,97
2025-07-04 03:28:31,96,99
2025-07-04 03:28:39,112,96
2025-07-04 03:28:47,54,97
2025-07-04 03:28:55,76,96
2025-07-04 03:29:03,79,98
2025-07-04 03:29:11,89,97
2025-07-04 03:29:19,87,99
2025-07-04 03:29:27,63,97
2025-07-04 03:29:35,70,96
2025-07-04 03:29:43,88,96
2025-07-04 03:29:51,65,97
2025-07-04 03:29:59,58,99
2025-07-04 03:30:07,98,99
2025-07-04 03:30:15,115,99
2025-07-04 03:30:23,61,96
2025-07-04 03:30:31,41,97
2025-07-04 03:30:39,60,98
2025-07-04 03:30:47,64,96
2025-07-04 03:30:55,65,99
2025-07-04 03:31:03,76,97
2025-07-04 03:31:11,76,99
2025-07-04 03:31:19,75,98
